sequence	16S_rRNA_Count	metadata_NSTI
Cluster_1	1	0.00891
Cluster_10	1	0.021849
Cluster_2	6	0.046612
Cluster_3	1	0.018602
Cluster_4	1	0.042723000000000004
Cluster_5	2	0.020856
Cluster_6	1	0.087397
Cluster_7	1	0.925652
Cluster_8	2	0.006162
Cluster_9	5	0.024552
