pathway	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
PWY-5420	0.0	0.0	0.0	2.7873	2.7873	2.7873	5.0746	5.0746	5.0746
PWY-5430	0.0	0.0	0.0	0.0	0.0	0.0	2.6504	2.6504	2.6504
PWY-5431	5.8154	5.8154	5.8154	0.0	0.0	0.0	3.4649	3.4649	3.4649
PWY-5484	58.2972	58.2972	58.2972	77.0173	77.0173	77.0173	72.1467	72.1467	72.1467
PWY-5505	24.6129	24.6129	24.6129	46.765	46.765	46.765	13.9536	13.9536	13.9536
PWY-5507	0.0	0.0	0.0	0.0	0.0	0.0	1.6076	1.6076	1.6076
PWY-5509	23.8745	23.8745	23.8745	10.4929	10.4929	10.4929	20.8484	20.8484	20.8484
PWY-5531	2.7529	2.7529	2.7529	0.0	0.0	0.0	2.741	2.741	2.741
PWY-5647	1.1842	1.1842	1.1842	10.1852	10.1852	10.1852	1.622	1.622	1.622
PWY-5651	1.6676	1.6676	1.6676	12.4724	12.4724	12.4724	1.2007	1.2007	1.2007
PWY-5654	1.2414	1.2414	1.2414	10.2326	10.2326	10.2326	2.4184	2.4184	2.4184
PWY-5655	0.0	0.0	0.0	4.0392	4.0392	4.0392	1.8372	1.8372	1.8372
PWY-5656	4.2073	4.2073	4.2073	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5659	41.3364	41.3364	41.3364	49.7921	49.7921	49.7921	95.0488	95.0488	95.0488
PWY-5667	95.6855	95.6855	95.6855	89.9286	89.9286	89.9286	108.242	108.242	108.242
PWY-5676	5.0949	5.0949	5.0949	12.9018	12.9018	12.9018	11.8946	11.8946	11.8946
PWY-5679	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5686	80.3506	80.3506	80.3506	97.9384	97.9384	97.9384	102.9506	102.9506	102.9506
PWY-5695	51.1035	51.1035	51.1035	43.7832	43.7832	43.7832	74.6155	74.6155	74.6155
PWY-5705	9.1246	9.1246	9.1246	2.8812	2.8812	2.8812	12.3035	12.3035	12.3035
PWY-5741	0.0	0.0	0.0	9.6779	9.6779	9.6779	3.0292	3.0292	3.0292
PWY-5747	13.5619	13.5619	13.5619	4.0861	4.0861	4.0861	6.5496	6.5496	6.5496
PWY-5837	41.7299	41.7299	41.7299	10.7203	10.7203	10.7203	3.1463	3.1463	3.1463
PWY-5838	57.0125	57.0125	57.0125	24.6	24.6	24.6	8.56	8.56	8.56
PWY-5840	58.9988	58.9988	58.9988	22.6429	22.6429	22.6429	8.3623	8.3623	8.3623
PWY-5845	36.8414	36.8414	36.8414	15.8946	15.8946	15.8946	5.8252	5.8252	5.8252
PWY-5850	36.8414	36.8414	36.8414	15.8946	15.8946	15.8946	3.9215	3.9215	3.9215
PWY-5855	30.1805	30.1805	30.1805	18.3919	18.3919	18.3919	39.7389	39.7389	39.7389
PWY-5856	30.1805	30.1805	30.1805	18.3919	18.3919	18.3919	39.7389	39.7389	39.7389
PWY-5857	30.1805	30.1805	30.1805	18.3919	18.3919	18.3919	39.7389	39.7389	39.7389
PWY-5860	28.5933	28.5933	28.5933	12.0474	12.0474	12.0474	2.6477	2.6477	2.6477
PWY-5861	48.6188	48.6188	48.6188	20.1575	20.1575	20.1575	5.8678	5.8678	5.8678
PWY-5862	28.5933	28.5933	28.5933	12.0474	12.0474	12.0474	3.9574	3.9574	3.9574
PWY-5863	43.1635	43.1635	43.1635	11.9793	11.9793	11.9793	3.5777	3.5777	3.5777
PWY-5896	36.8414	36.8414	36.8414	15.8946	15.8946	15.8946	3.9215	3.9215	3.9215
PWY-5897	58.6444	58.6444	58.6444	23.0358	23.0358	23.0358	7.7306	7.7306	7.7306
PWY-5898	58.6444	58.6444	58.6444	23.0358	23.0358	23.0358	7.7306	7.7306	7.7306
PWY-5899	58.6444	58.6444	58.6444	23.0358	23.0358	23.0358	7.7306	7.7306	7.7306
PWY-5910	1.5249	1.5249	1.5249	52.8311	52.8311	52.8311	30.0314	30.0314	30.0314
PWY-5913	31.3956	31.3956	31.3956	64.3827	64.3827	64.3827	81.439	81.439	81.439
PWY-5918	59.5408	59.5408	59.5408	31.6789	31.6789	31.6789	44.104	44.104	44.104
PWY-5920	39.937	39.937	39.937	25.4864	25.4864	25.4864	35.5006	35.5006	35.5006
PWY-5941	0.0	0.0	0.0	4.8551	4.8551	4.8551	3.8053	3.8053	3.8053
PWY-5971	29.2336	29.2336	29.2336	17.295	17.295	17.295	68.2409	68.2409	68.2409
PWY-5973	93.3478	93.3478	93.3478	53.6374	53.6374	53.6374	131.1458	131.1458	131.1458
PWY-5989	30.2436	30.2436	30.2436	17.5906	17.5906	17.5906	94.0345	94.0345	94.0345
PWY-6071	0.0	0.0	0.0	0.9759	0.9759	0.9759	0.818	0.818	0.818
PWY-6121	86.1058	86.1058	86.1058	89.4408	89.4408	89.4408	114.1018	114.1018	114.1018
PWY-6122	90.4216	90.4216	90.4216	92.2901	92.2901	92.2901	112.175	112.175	112.175
PWY-6123	75.735	75.735	75.735	86.4648	86.4648	86.4648	87.6593	87.6593	87.6593
PWY-6125	82.4749	82.4749	82.4749	68.8544	68.8544	68.8544	85.6253	85.6253	85.6253
PWY-6126	88.7586	88.7586	88.7586	82.3479	82.3479	82.3479	90.252	90.252	90.252
PWY-6147	82.6147	82.6147	82.6147	76.5143	76.5143	76.5143	81.7732	81.7732	81.7732
PWY-6151	50.9404	50.9404	50.9404	87.7626	87.7626	87.7626	45.0206	45.0206	45.0206
PWY-6163	74.9245	74.9245	74.9245	85.0075	85.0075	85.0075	93.0471	93.0471	93.0471
PWY-6174	0.0	0.0	0.0	0.771	0.771	0.771	0.0	0.0	0.0
PWY-6182	2.5032	2.5032	2.5032	0.0	0.0	0.0	3.9434	3.9434	3.9434
PWY-6185	0.0	0.0	0.0	0.0	0.0	0.0	2.2262	2.2262	2.2262
PWY-621	32.8599	32.8599	32.8599	87.5584	87.5584	87.5584	33.7461	33.7461	33.7461
PWY-6210	0.0	0.0	0.0	0.9544	0.9544	0.9544	1.3263	1.3263	1.3263
PWY-6263	18.323	18.323	18.323	15.4881	15.4881	15.4881	38.8514	38.8514	38.8514
PWY-6269	23.9663	23.9663	23.9663	10.6495	10.6495	10.6495	13.6036	13.6036	13.6036
PWY-6277	90.4216	90.4216	90.4216	92.2901	92.2901	92.2901	112.175	112.175	112.175
PWY-6282	30.5763	30.5763	30.5763	17.005	17.005	17.005	91.2208	91.2208	91.2208
PWY-6317	12.7062	12.7062	12.7062	73.5524	73.5524	73.5524	45.6223	45.6223	45.6223
PWY-6353	33.3862	33.3862	33.3862	26.3667	26.3667	26.3667	45.8368	45.8368	45.8368
PWY-6383	1.892	1.892	1.892	4.4791	4.4791	4.4791	22.8997	22.8997	22.8997
PWY-6385	74.1857	74.1857	74.1857	86.4694	86.4694	86.4694	89.5962	89.5962	89.5962
PWY-6386	75.9236	75.9236	75.9236	86.36	86.36	86.36	90.8101	90.8101	90.8101
PWY-6387	76.3666	76.3666	76.3666	87.6623	87.6623	87.6623	91.3256	91.3256	91.3256
PWY-6396	9.1132	9.1132	9.1132	5.6533	5.6533	5.6533	1.422	1.422	1.422
PWY-6397	0.0	0.0	0.0	0.0	0.0	0.0	1.3495	1.3495	1.3495
PWY-6404	0.0	0.0	0.0	0.0	0.0	0.0	4.8088	4.8088	4.8088
PWY-6467	29.08	29.08	29.08	33.83	33.83	33.83	63.74	63.74	63.74
PWY-6470	5.3309	5.3309	5.3309	8.5366	8.5366	8.5366	0.0	0.0	0.0
PWY-6471	36.344	36.344	36.344	71.2919	71.2919	71.2919	44.4603	44.4603	44.4603
PWY-6478	13.9662	13.9662	13.9662	10.8281	10.8281	10.8281	2.7356	2.7356	2.7356
PWY-6505	0.0	0.0	0.0	2.044	2.044	2.044	1.8372	1.8372	1.8372
PWY-6507	3.1346	3.1346	3.1346	7.3533	7.3533	7.3533	6.5826	6.5826	6.5826
PWY-6519	25.6139	25.6139	25.6139	15.5653	15.5653	15.5653	19.7024	19.7024	19.7024
PWY-6545	42.2692	42.2692	42.2692	38.4578	38.4578	38.4578	37.4734	37.4734	37.4734
PWY-6562	1.8448	1.8448	1.8448	0.716	0.716	0.716	15.6614	15.6614	15.6614
PWY-6588	3.8224	3.8224	3.8224	8.5858	8.5858	8.5858	7.6129	7.6129	7.6129
PWY-6590	24.4541	24.4541	24.4541	13.178	13.178	13.178	10.2029	10.2029	10.2029
PWY-6608	43.1523	43.1523	43.1523	21.0001	21.0001	21.0001	41.768	41.768	41.768
PWY-6609	62.0041	62.0041	62.0041	35.9469	35.9469	35.9469	36.7172	36.7172	36.7172
PWY-6612	78.6282	78.6282	78.6282	61.0046	61.0046	61.0046	66.6355	66.6355	66.6355
PWY-6628	41.985	41.985	41.985	20.1006	20.1006	20.1006	64.3877	64.3877	64.3877
PWY-6630	40.7397	40.7397	40.7397	20.0881	20.0881	20.0881	63.8165	63.8165	63.8165
PWY-6690	0.0	0.0	0.0	0.0	0.0	0.0	1.4684	1.4684	1.4684
PWY-6700	70.3468	70.3468	70.3468	36.1166	36.1166	36.1166	61.2018	61.2018	61.2018
PWY-6703	70.2575	70.2575	70.2575	30.6683	30.6683	30.6683	55.6283	55.6283	55.6283
PWY-6708	30.1805	30.1805	30.1805	18.3919	18.3919	18.3919	39.7389	39.7389	39.7389
PWY-6714	0.0	0.0	0.0	1.34	1.34	1.34	1.0	1.0	1.0
PWY-6728	0.0	0.0	0.0	0.0	0.0	0.0	4.4887	4.4887	4.4887
PWY-6737	22.5449	22.5449	22.5449	38.9332	38.9332	38.9332	67.1086	67.1086	67.1086
PWY-6749	0.0	0.0	0.0	0.0	0.0	0.0	1.9682	1.9682	1.9682
PWY-6876	0.0	0.0	0.0	0.0	0.0	0.0	4.846	4.846	4.846
PWY-6891	7.4089	7.4089	7.4089	5.8419	5.8419	5.8419	51.5017	51.5017	51.5017
PWY-6892	11.0586	11.0586	11.0586	12.2745	12.2745	12.2745	58.5176	58.5176	58.5176
PWY-6895	23.1469	23.1469	23.1469	19.342	19.342	19.342	66.9132	66.9132	66.9132
PWY-6897	52.4246	52.4246	52.4246	60.0947	60.0947	60.0947	73.066	73.066	73.066
PWY-6901	13.8397	13.8397	13.8397	62.3934	62.3934	62.3934	52.2698	52.2698	52.2698
PWY-6944	0.0	0.0	0.0	0.7636	0.7636	0.7636	2.7106	2.7106	2.7106
