pathway	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
PWY0-162	82.8876	82.8876	82.8876	78.2908	78.2908	78.2908	95.6468	95.6468	95.6468
PWY0-166	63.99	63.99	63.99	65.117	65.117	65.117	78.0642	78.0642	78.0642
PWY0-321	0.0	0.0	0.0	1.67	1.67	1.67	0.7063	0.7063	0.7063
PWY0-41	0.0	0.0	0.0	0.0	0.0	0.0	3.9771	3.9771	3.9771
PWY0-42	13.3914	13.3914	13.3914	3.7042	3.7042	3.7042	5.9432	5.9432	5.9432
PWY0-781	55.7817	55.7817	55.7817	60.2579	60.2579	60.2579	65.704	65.704	65.704
PWY0-845	27.1453	27.1453	27.1453	13.4544	13.4544	13.4544	23.3355	23.3355	23.3355
PWY0-862	30.0833	30.0833	30.0833	23.5633	23.5633	23.5633	90.2922	90.2922	90.2922
PWY1G-0	1.519	1.519	1.519	3.3644	3.3644	3.3644	9.4595	9.4595	9.4595
PWY490-3	0.4944	0.4944	0.4944	1.9858	1.9858	1.9858	1.3476	1.3476	1.3476
PWY4FS-7	85.4607	85.4607	85.4607	92.2769	92.2769	92.2769	99.844	99.844	99.844
PWY4FS-8	85.4607	85.4607	85.4607	92.2769	92.2769	92.2769	99.844	99.844	99.844
PWYG-321	34.7235	34.7235	34.7235	19.6578	19.6578	19.6578	100.4828	100.4828	100.4828
PYRIDNUCSAL-PWY	27.6644	27.6644	27.6644	74.4117	74.4117	74.4117	80.5495	80.5495	80.5495
PYRIDNUCSYN-PWY	44.5208	44.5208	44.5208	50.0129	50.0129	50.0129	66.4923	66.4923	66.4923
PYRIDOXSYN-PWY	20.4196	20.4196	20.4196	7.1307	7.1307	7.1307	12.837	12.837	12.837
REDCITCYC	83.8732	83.8732	83.8732	63.7272	63.7272	63.7272	41.1357	41.1357	41.1357
RHAMCAT-PWY	1.1302	1.1302	1.1302	3.4995	3.4995	3.4995	11.1722	11.1722	11.1722
RIBOSYN2-PWY	76.6147	76.6147	76.6147	55.1427	55.1427	55.1427	84.0629	84.0629	84.0629
SALVADEHYPOX-PWY	42.6253	42.6253	42.6253	20.974	20.974	20.974	48.5851	48.5851	48.5851
SER-GLYSYN-PWY	82.848	82.848	82.848	80.3717	80.3717	80.3717	109.3359	109.3359	109.3359
SO4ASSIM-PWY	22.5877	22.5877	22.5877	22.3322	22.3322	22.3322	34.2065	34.2065	34.2065
SUCSYN-PWY	3.817	3.817	3.817	2.2076	2.2076	2.2076	4.0429	4.0429	4.0429
SULFATE-CYS-PWY	35.0527	35.0527	35.0527	35.0756	35.0756	35.0756	56.1621	56.1621	56.1621
TCA	90.3098	90.3098	90.3098	64.4236	64.4236	64.4236	95.0458	95.0458	95.0458
