classification	db_link	observation_name	SC1703-104_TTGCCC-B6TML_L001_R	SC1703-105_CAGTCT-B6TML_L001_R	SC1703-106_TTAAAT-B6TML_L001_R	SC1703-107_AATTGC-B6TML_L001_R	SC1703-108_ACTCGA-B6TML_L001_R	SC1703-109_GTTACC-B6TML_L001_R	SC1703-110_CAGATG-B6TML_L001_R	SC1703-125_TCGCGC-B6TML_L001_R	SC1703-126_TAACTT-B6TML_L001_R	SC1703-127_CTGTAA-B6TML_L001_R	SC1703-128_CCATTG-B6TML_L001_R	SC1703-129_TAGGCT-B6TML_L001_R	SC1703-130_TTCTTG-B6TML_L001_R	SC1703-131_CCGACC-B6TML_L001_R	SC1703-132_TTAGCT-B6TML_L001_R	SC1703-133_CAGAGC-B6TML_L001_R	SC1703-134_AATATG-B6TML_L001_R	SC1703-135_TGAGCA-B6TML_L001_R	SC1703-136_AATCAC-B6TML_L001_R	SC1703-137_GGTAGC-B6TML_L001_R	SC1703-138_CTCTCG-B6TML_L001_R	SC1703-145_AGCGAC-B6TML_L001_R	SC1703-146_GCCAAG-B6TML_L001_R	SC1703-147_AGGTTC-B6TML_L001_R	SC1703-148_TTTTTC-B6TML_L001_R	SC1703-149_GTCGTG-B6TML_L001_R	SC1703-150_GCTATC-B6TML_L001_R	SC1703-151_TATGCG-B6TML_L001_R	SC1703-41_TCGTTC-B6TML_L001_R	SC1703-42_GCGATG-B6TML_L001_R	SC1703-43_ATATAA-B6TML_L001_R	SC1703-44_ATACTG-B6TML_L001_R	SC1703-45_GGAGAG-B6TML_L001_R	SC1703-46_ACGAGA-B6TML_L001_R	SC1703-47_ATTACA-B6TML_L001_R	SC1703-48_TGATTT-B6TML_L001_R	SC1703-49_GGGGTG-B6TML_L001_R	SC1703-50_ACAAAA-B6TML_L001_R	SC1703-51_CTCCAG-B6TML_L001_R	SC1703-52_GGTGTT-B6TML_L001_R	SC1703-53_CGGGAG-B6TML_L001_R	SC1703-54_TGGTAG-B6TML_L001_R	SC1703-62_TGCGGG-B6TML_L001_R	SC1703-63_TCTATG-B6TML_L001_R	SC1703-64_GGACGG-B6TML_L001_R	SC1703-65_AGAGGG-B6TML_L001_R	SC1703-66_ATGAAC-B6TML_L001_R	SC1703-67_TACCTG-B6TML_L001_R	SC1703-68_CTAGAG-B6TML_L001_R	SC1703-83_CTTGCA-B6TML_L001_R	SC1703-84_CATGTT-B6TML_L001_R	SC1703-85_TGGATT-B6TML_L001_R	SC1703-86_AACGCA-B6TML_L001_R	SC1703-87_TTCGAG-B6TML_L001_R	SC1703-88_AAGCTA-B6TML_L001_R	SC1703-89_AGTTTG-B6TML_L001_R	SC1703-90_TCCCCA-B6TML_L001_R	SC1703-91_AACTAG-B6TML_L001_R	SC1703-92_GTTCGC-B6TML_L001_R	SC1703-93_TGCCTT-B6TML_L001_R	SC1703-94_ATAAGA-B6TML_L001_R	SC1703-95_CACACT-B6TML_L001_R	SC1703-96_ACAGTT-B6TML_L001_R
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.1	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.1	EC:1.1.1.1	10937	21568	22912	30967	15764	7394	14257	8139	21831	40099	33944	36207	18113	37099	29436	19640	15087	28286	18217	20304	32524	10460	10795	10171	14299	8535	13752	7508	14924	7729	18573	18865	13270	15035	21741	20772	16731	15853	19760	23086	16225	22163	18355	16365	10974	17803	28371	13969	20106	14717	16212	22396	21263	26409	13764	16760	23047	35566	37117	35318	26832	33037	24795
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.100	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.100	EC:1.1.1.100	19088	40567	38318	50204	24510	14219	27066	22529	55798	76863	78641	88958	35444	81237	51887	40345	41090	83814	56914	48196	69476	23294	15391	18587	27786	14210	23046	12200	31362	11706	26710	29946	35204	13957	55274	52190	41080	20386	46839	46825	32982	49318	30293	35316	23344	33890	44339	24590	38844	30516	30049	63704	32959	71044	32393	40039	78044	95183	90201	86953	71718	84572	67538
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.103	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.103	EC:1.1.1.103	332	1645	2018	2420	1140	485	1092	3052	7873	852	7765	10654	402	6842	5618	3807	3636	3346	7832	4496	6082	269	1314	228	452	306	471	113	6019	1448	5281	3520	7166	4199	10786	7921	5412	3886	7737	6364	3874	5316	577	2348	950	684	1263	1348	697	4834	4807	12409	1756	14386	5668	6025	8666	13854	6057	15925	10720	12010	9281
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.108	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.108	EC:1.1.1.108	350	336	1010	520	280	676	632	2110	982	9000	2012	896	3294	2382	646	1364	1542	1020	1678	2464	1416	22	396	52	448	64	100	22	1118	526	562	5294	142	1052	1750	2044	1224	206	538	742	764	542	716	1738	592	696	1172	736	1254	2768	3600	1226	6276	2998	1956	6350	3722	3902	3776	3310	2710	1822	2832
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.122	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.122	EC:1.1.1.122	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.125	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.125	EC:1.1.1.125	332	1645	2018	2420	1140	485	1092	3052	7873	852	7765	10654	402	6842	5618	3807	3636	3346	7832	4496	6082	269	1314	228	452	306	471	113	6019	1448	5281	3520	7166	4199	10786	7921	5412	3886	7737	6364	3874	5316	577	2348	950	684	1263	1348	697	4834	4807	12409	1756	14386	5668	6025	8666	13854	6057	15925	10720	12010	9281
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.130	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.130	EC:1.1.1.130	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.133	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.133	EC:1.1.1.133	1996	1495	1698	2866	1626	975	2425	1934	10224	24392	20309	20167	12912	22678	8027	5763	6256	21177	4242	7144	8842	5604	956	1872	4211	1662	1632	1726	1620	1204	1268	2932	2023	846	2827	5118	4838	3023	5557	7101	4892	6793	1360	994	1709	754	4272	862	1912	2428	763	1775	7291	2969	1280	1202	7251	8850	13520	6312	8576	9666	7274
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.136	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.136	EC:1.1.1.136	233	1305	1338	1495	598	348	395	2874	7160	25	6914	9935	15	5834	3173	2776	3139	3049	7358	3516	4819	89	768	158	205	63	204	72	4631	496	2803	1551	6231	1344	9366	7343	4415	1522	7335	5823	3464	5127	225	1457	465	425	578	445	271	3593	3408	11535	45	12854	4777	5248	8442	12633	5259	13924	9587	10678	8315
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.14	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.14	EC:1.1.1.14	3876	10318	11566	11646	5484	5501	8904	21382	43520	60111	56978	65992	25200	57490	24954	22500	24498	37384	39165	31359	34238	5918	5207	3193	7068	2442	3405	1444	27434	7662	20942	30797	29500	13118	49916	39137	29708	11574	34065	28434	19793	30590	5725	19378	8230	8705	10457	8884	10116	28608	30036	57379	31753	67818	30229	45995	52630	73799	52961	74182	56724	62770	51533
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.140	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.140	EC:1.1.1.140	199	680	1360	1850	1083	274	1393	356	1426	1654	1702	1438	774	2016	4890	2062	993	595	948	1960	2526	360	1092	140	493	485	534	82	2776	1903	4956	3938	1869	5710	2839	1156	1993	4727	804	1082	820	378	704	1783	969	518	1370	1807	852	2482	2798	1748	3422	3063	1782	1554	448	2442	1596	4002	2267	2663	1932
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.157	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.157	EC:1.1.1.157	2606	7413	9264	9493	4258	3581	5464	18627	49764	71627	72248	84653	31507	75934	24632	20384	21920	35872	36687	26775	32086	5532	4500	2380	5686	2088	2315	1098	27033	7118	24036	23995	28958	11207	48970	36300	29928	11422	33735	28326	20178	34083	2896	10284	4352	3440	5531	4482	5510	25007	25417	59449	27422	64176	28800	36690	46872	68674	52066	69651	52786	63728	48222
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.159	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.159	EC:1.1.1.159	5038	11384	9941	13523	6608	3481	7540	349	917	1112	1150	1414	509	1412	7956	4328	5716	4426	10731	4424	9440	3011	3788	4289	5270	3202	6647	2858	1752	1680	2528	2003	1672	3212	1640	5919	2426	4922	2046	4750	3161	1054	9828	9744	7684	10754	12257	8212	12669	1487	2449	1131	2326	1864	1252	1101	15980	7189	6218	5550	2680	2266	5110
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.169	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.169	EC:1.1.1.169	2114	5379	4504	5590	2802	2369	5780	6203	11594	10849	12674	14451	4171	12230	13497	10080	10362	25100	12057	13417	15494	5584	1714	2563	5110	2060	2493	1161	10187	4596	10847	10262	10382	5930	16566	10976	12790	6390	10446	8739	7109	13583	2902	9792	5058	5341	5206	5342	5541	9524	9010	19095	7421	20260	10027	11199	16105	24192	25854	22477	19806	25262	18082
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.17	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.17	EC:1.1.1.17	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.18	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.18	EC:1.1.1.18	466	2610	2676	2990	1196	696	790	5748	14320	50	13828	19870	30	11668	6346	5552	6278	6098	14716	7032	9638	178	1536	316	410	126	408	144	9262	992	5606	3102	12462	2688	18732	14686	8830	3044	14670	11646	6928	10254	450	2914	930	850	1156	890	542	7186	6816	23070	90	25708	9554	10496	16884	25266	10518	27848	19174	21356	16630
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.193	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.193	EC:1.1.1.193	4508	10268	10467	13615	6348	2856	5392	3116	7925	904	7878	10710	439	6882	10952	6882	8330	7226	17778	6993	13848	2745	4442	3711	4756	3008	5911	2616	6025	1456	5290	3532	7176	4208	10800	13213	6822	6268	9229	10542	6577	5805	8272	4716	5160	6957	9665	5358	10214	4913	5423	12468	1918	14438	5725	6054	24156	19553	11203	19295	12206	12810	13359
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.205	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.205	EC:1.1.1.205	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.215	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.215	EC:1.1.1.215	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.22	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.22	EC:1.1.1.22	2082	1819	2360	3780	2119	1052	3078	1886	3437	3033	3634	1838	2196	3074	10472	6794	6659	21398	4716	8122	10066	5783	1500	1942	4458	1905	1899	1766	3007	2154	3746	4902	2958	3702	4246	5696	5835	5386	5959	7642	5301	6982	1712	1885	2194	1011	4956	1765	2339	3668	2160	2648	3633	4500	2168	1976	7442	10069	14316	8310	9682	10990	8230
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.23	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.23	EC:1.1.1.23	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.25	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.25	EC:1.1.1.25	9048	17918	15462	21054	10495	6688	15048	8309	22022	35527	33282	35313	17204	35312	27035	19140	21838	50406	26556	24004	32513	14019	5911	8654	14344	6683	10505	5704	12170	6528	12165	13228	13142	7134	19614	21435	19058	11972	17647	20049	14751	21241	13738	19639	13968	16589	21050	13512	19697	12198	10823	21127	15327	23562	11668	12724	39112	39010	44794	32338	29929	35862	29500
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.251	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.251	EC:1.1.1.251	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.262	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.262	EC:1.1.1.262	2562	2314	2746	3948	2152	1436	3418	1255	1232	5346	1906	1181	2061	2222	6906	2987	6572	4424	12344	4266	5198	1815	1982	493	1674	513	1753	1453	1950	1217	2767	4644	1014	3393	2308	10196	3179	5976	6040	11241	7073	4788	3786	4422	4678	2542	7581	3578	5086	2670	3224	1524	4940	3074	1897	3972	19315	9442	6190	8838	4930	4148	7142
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.264	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.264	EC:1.1.1.264	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.267	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.267	EC:1.1.1.267	7444	14356	13488	18162	8977	5149	10684	6503	19161	33092	30327	33560	15313	32884	20303	13701	16048	29352	23520	16372	24153	8716	5709	6346	9920	4960	8533	4667	10195	4606	10858	10294	10394	5944	16592	19680	14366	9904	15836	19081	13477	17927	11798	13064	10154	12280	17694	9887	15481	9608	9633	19160	12967	20322	10093	11238	33592	31618	31926	28051	22358	27338	23108
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.27	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.27	EC:1.1.1.27	7111	12711	11470	15742	7838	4664	9592	3450	11288	32240	22562	22906	14912	26042	14685	9894	12412	26005	15688	11876	18070	8448	4396	6118	9468	4654	8062	4554	4176	3158	5577	6774	3229	1744	5806	11758	8954	6018	8099	12717	9604	12611	11220	10716	9205	11596	16431	8538	14784	4774	4826	6751	11211	5937	4425	5214	24926	17764	25868	12126	11638	15329	13827
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.271	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.271	EC:1.1.1.271	2090	2949	2886	3809	1752	1315	4364	1890	3435	3044	3655	1842	2217	3093	11666	6976	10168	24424	12713	9262	11585	6097	1006	1739	4648	1750	2135	1163	3006	2156	3750	4889	2960	3704	4240	7468	7076	6634	3532	5643	4252	3600	2388	2738	4322	1616	3096	3000	5526	3704	2175	2675	3694	4524	2184	1979	20744	12889	15972	9090	10046	10360	11114
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.28	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.28	EC:1.1.1.28	5906	13842	13239	17523	8514	4486	10430	6786	14194	6354	14418	14286	4498	12360	24018	17840	15475	46061	14500	20693	29048	12206	4906	7564	12435	6398	8346	4018	11004	5530	10336	11339	12871	9088	18055	12068	15779	10213	11630	8822	6870	11773	8849	10514	7269	10342	11666	8442	12736	11124	8748	17046	7820	22134	9440	9497	19888	30744	34883	26710	27018	30418	23222
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.282	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.282	EC:1.1.1.282	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.284	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.284	EC:1.1.1.284	274	508	1185	1185	682	475	1012	1233	1204	5327	1857	1167	2034	2199	2768	1713	1268	808	1313	2212	1971	191	744	96	470	274	317	52	1947	1214	2759	4616	1006	3381	2294	1600	1608	2466	671	912	792	460	710	1760	780	607	1271	1272	1053	2625	3199	1487	4849	3030	1869	3952	2085	3172	2686	3656	2488	2242	2382
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.287	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.287	EC:1.1.1.287	175	168	505	260	140	338	316	1055	491	4500	1006	448	1647	1191	323	682	771	510	839	1232	708	11	198	26	224	32	50	11	559	263	281	2647	71	526	875	1022	612	103	269	371	382	271	358	869	296	348	586	368	627	1384	1800	613	3138	1499	978	3175	1861	1951	1888	1655	1355	911	1416
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.289	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.289	EC:1.1.1.289	175	168	505	260	140	338	316	1055	491	4500	1006	448	1647	1191	323	682	771	510	839	1232	708	11	198	26	224	32	50	11	559	263	281	2647	71	526	875	1022	612	103	269	371	382	271	358	869	296	348	586	368	627	1384	1800	613	3138	1499	978	3175	1861	1951	1888	1655	1355	911	1416
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.29	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.29	EC:1.1.1.29	2979	5209	3836	5772	3038	2243	5326	4978	10405	5526	10831	13289	2140	10034	12201	8913	9992	24588	12261	11662	14376	6048	1836	2767	5145	1982	2776	2110	8242	3382	8090	5666	9379	2554	14281	12788	11346	5054	13673	13991	9982	16978	3392	8936	5163	5400	8020	4606	4910	6904	5816	17613	2587	17239	8164	7256	15984	22744	24092	21022	18356	24287	16638
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.290	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.290	EC:1.1.1.290	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.3	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.3	EC:1.1.1.3	11333	24272	22386	30290	15034	8018	16378	6839	20064	34189	31442	34964	15798	34275	25594	17300	17358	30456	24738	19200	31220	10758	9125	10538	14493	8120	14344	7126	11946	6284	13380	12290	12060	9149	18227	20415	15386	12447	16412	19666	14022	18508	19750	21052	14826	21764	27726	16328	24540	11054	12062	20260	15217	22153	11324	12328	34306	34262	35564	30620	23636	28967	24396
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.30	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.30	EC:1.1.1.30	233	1305	1338	1495	598	348	395	2874	7160	25	6914	9935	15	5834	3173	2776	3139	3049	7358	3516	4819	89	768	158	205	63	204	72	4631	496	2803	1551	6231	1344	9366	7343	4415	1522	7335	5823	3464	5127	225	1457	465	425	578	445	271	3593	3408	11535	45	12854	4777	5248	8442	12633	5259	13924	9587	10678	8315
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.305	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.305	EC:1.1.1.305	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.31	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.31	EC:1.1.1.31	3790	9576	8217	11202	5515	2732	4998	158	191	270	264	686	98	383	2845	2569	813	807	743	1847	5804	1862	2870	4122	4327	2918	5544	2418	363	727	44	26	731	350	216	157	23	180	173	44	135	392	7600	7096	4187	9225	9347	5538	8633	205	1030	225	539	299	339	313	490	1423	2840	568	144	297	322
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.336	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.336	EC:1.1.1.336	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.343	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.343	EC:1.1.1.343	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.346	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.346	EC:1.1.1.346	298	1019	2040	2775	1624	411	2090	535	2138	2482	2554	2156	1160	3023	7336	3092	1490	892	1423	2940	3790	539	1637	210	740	728	802	124	4163	2854	7435	5907	2804	8566	4258	1735	2990	7090	1207	1622	1229	567	1056	2674	1454	776	2054	2710	1279	3723	4198	2623	5133	4594	2674	2331	672	3664	2394	6004	3400	3994	2899
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.35	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.35	EC:1.1.1.35	199	680	1360	1850	1083	274	1393	356	1426	1654	1702	1438	774	2016	4890	2062	993	595	948	1960	2526	360	1092	140	493	485	534	82	2776	1903	4956	3938	1869	5710	2839	1156	1993	4727	804	1082	820	378	704	1783	969	518	1370	1807	852	2482	2798	1748	3422	3063	1782	1554	448	2442	1596	4002	2267	2663	1932
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.350	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.350	EC:1.1.1.350	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.363	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.363	EC:1.1.1.363	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.369	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.369	EC:1.1.1.369	466	2610	2676	2990	1196	696	790	5748	14320	50	13828	19870	30	11668	6346	5552	6278	6098	14716	7032	9638	178	1536	316	410	126	408	144	9262	992	5606	3102	12462	2688	18732	14686	8830	3044	14670	11646	6928	10254	450	2914	930	850	1156	890	542	7186	6816	23070	90	25708	9554	10496	16884	25266	10518	27848	19174	21356	16630
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;EC:1.1.1.37	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.37	EC:1.1.1.37	1248	1808	1724	2321	1094	749	2542	191	726	842	886	728	411	1029	5111	1759	4904	3618	9988	2577	3636	1149	918	167	944	284	1103	440	1389	954	2484	1977	940	2862	1424	5762	2402	4742	1873	4706	3026	662	2228	2648	3498	1529	2910	2674	4036	1282	1419	906	1787	1566	913	788	15490	5766	3378	4982	2536	1970	4788
