classification	db_link	observation_name	SC1703-104_TTGCCC-B6TML_L001_R	SC1703-105_CAGTCT-B6TML_L001_R	SC1703-106_TTAAAT-B6TML_L001_R	SC1703-107_AATTGC-B6TML_L001_R	SC1703-108_ACTCGA-B6TML_L001_R	SC1703-109_GTTACC-B6TML_L001_R	SC1703-110_CAGATG-B6TML_L001_R	SC1703-125_TCGCGC-B6TML_L001_R	SC1703-126_TAACTT-B6TML_L001_R	SC1703-127_CTGTAA-B6TML_L001_R	SC1703-128_CCATTG-B6TML_L001_R	SC1703-129_TAGGCT-B6TML_L001_R	SC1703-130_TTCTTG-B6TML_L001_R	SC1703-131_CCGACC-B6TML_L001_R	SC1703-132_TTAGCT-B6TML_L001_R	SC1703-133_CAGAGC-B6TML_L001_R	SC1703-134_AATATG-B6TML_L001_R	SC1703-135_TGAGCA-B6TML_L001_R	SC1703-136_AATCAC-B6TML_L001_R	SC1703-137_GGTAGC-B6TML_L001_R	SC1703-138_CTCTCG-B6TML_L001_R	SC1703-145_AGCGAC-B6TML_L001_R	SC1703-146_GCCAAG-B6TML_L001_R	SC1703-147_AGGTTC-B6TML_L001_R	SC1703-148_TTTTTC-B6TML_L001_R	SC1703-149_GTCGTG-B6TML_L001_R	SC1703-150_GCTATC-B6TML_L001_R	SC1703-151_TATGCG-B6TML_L001_R	SC1703-41_TCGTTC-B6TML_L001_R	SC1703-42_GCGATG-B6TML_L001_R	SC1703-43_ATATAA-B6TML_L001_R	SC1703-44_ATACTG-B6TML_L001_R	SC1703-45_GGAGAG-B6TML_L001_R	SC1703-46_ACGAGA-B6TML_L001_R	SC1703-47_ATTACA-B6TML_L001_R	SC1703-48_TGATTT-B6TML_L001_R	SC1703-49_GGGGTG-B6TML_L001_R	SC1703-50_ACAAAA-B6TML_L001_R	SC1703-51_CTCCAG-B6TML_L001_R	SC1703-52_GGTGTT-B6TML_L001_R	SC1703-53_CGGGAG-B6TML_L001_R	SC1703-54_TGGTAG-B6TML_L001_R	SC1703-62_TGCGGG-B6TML_L001_R	SC1703-63_TCTATG-B6TML_L001_R	SC1703-64_GGACGG-B6TML_L001_R	SC1703-65_AGAGGG-B6TML_L001_R	SC1703-66_ATGAAC-B6TML_L001_R	SC1703-67_TACCTG-B6TML_L001_R	SC1703-68_CTAGAG-B6TML_L001_R	SC1703-83_CTTGCA-B6TML_L001_R	SC1703-84_CATGTT-B6TML_L001_R	SC1703-85_TGGATT-B6TML_L001_R	SC1703-86_AACGCA-B6TML_L001_R	SC1703-87_TTCGAG-B6TML_L001_R	SC1703-88_AAGCTA-B6TML_L001_R	SC1703-89_AGTTTG-B6TML_L001_R	SC1703-90_TCCCCA-B6TML_L001_R	SC1703-91_AACTAG-B6TML_L001_R	SC1703-92_GTTCGC-B6TML_L001_R	SC1703-93_TGCCTT-B6TML_L001_R	SC1703-94_ATAAGA-B6TML_L001_R	SC1703-95_CACACT-B6TML_L001_R	SC1703-96_ACAGTT-B6TML_L001_R
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.15	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.15	EC:3.1.3.15	10704	22816	22232	29456	14231	7256	13534	9428	26360	33154	37319	43542	15341	38737	26144	18824	19475	32958	31310	20788	34365	10312	9233	9890	13732	7684	13341	6843	14831	5109	13664	11850	16630	7290	25968	27131	18786	11430	23192	24917	17028	23070	17842	15131	11818	17708	24449	12571	21659	13240	13637	30722	13098	33194	14905	16504	42258	45405	39750	42364	32028	38180	31679
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.16	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.16	EC:3.1.3.16	14157	31130	29376	38454	19140	11366	21603	21008	46618	56312	60032	71054	23116	61298	43268	33236	31698	59541	45068	40049	55330	16050	12720	13603	20032	10283	16842	9014	32760	12408	31892	30152	34506	15976	55745	46048	38067	18808	44720	43286	31042	50762	22816	33752	18794	27788	36436	21157	28264	29972	31288	66856	27399	70699	33760	40107	57549	84576	78298	82084	63988	80522	59084
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.18	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.18	EC:3.1.3.18	26412	55988	51803	69351	33898	18288	35260	15948	41230	72635	64184	69382	33902	68801	53397	39755	39550	81892	52048	44276	72700	27443	19655	25850	35782	19672	33572	16966	21910	11186	20876	24235	23412	11102	35898	41931	33072	19802	33565	39030	28510	39674	44780	40996	30516	48190	60346	32880	55825	22230	23079	40305	30432	44188	22257	26710	75279	75088	85781	61388	52818	63404	53892
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.2	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.2	EC:3.1.3.2	199	680	1360	1850	1083	274	1393	356	1426	1654	1702	1438	774	2016	4890	2062	993	595	948	1960	2526	360	1092	140	493	485	534	82	2776	1903	4956	3938	1869	5710	2839	1156	1993	4727	804	1082	820	378	704	1783	969	518	1370	1807	852	2482	2798	1748	3422	3063	1782	1554	448	2442	1596	4002	2267	2663	1932
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.23	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.23	EC:3.1.3.23	298	1019	2040	2775	1624	411	2090	535	2138	2482	2554	2156	1160	3023	7336	3092	1490	892	1423	2940	3790	539	1637	210	740	728	802	124	4163	2854	7435	5907	2804	8566	4258	1735	2990	7090	1207	1622	1229	567	1056	2674	1454	776	2054	2710	1279	3723	4198	2623	5133	4594	2674	2331	672	3664	2394	6004	3400	3994	2899
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.25	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.25	EC:3.1.3.25	5038	11384	9941	13523	6608	3481	7540	349	917	1112	1150	1414	509	1412	7956	4328	5716	4426	10731	4424	9440	3011	3788	4289	5270	3202	6647	2858	1752	1680	2528	2003	1672	3212	1640	5919	2426	4922	2046	4750	3161	1054	9828	9744	7684	10754	12257	8212	12669	1487	2449	1131	2326	1864	1252	1101	15980	7189	6218	5550	2680	2266	5110
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.26	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.26	EC:3.1.3.26	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.27	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.27	EC:3.1.3.27	1446	2487	3084	4171	2176	1023	3936	548	2151	2497	2589	2165	1184	3044	10002	3820	5896	4214	10937	4537	6163	1508	2009	307	1436	770	1638	523	4164	2856	7441	5915	2810	8573	4262	6919	4396	9470	2678	5787	3845	1040	2932	4432	4466	2046	4279	4482	4889	3764	4218	2655	5209	4628	2696	2342	15938	8209	4974	8985	4804	4632	6721
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.3	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.3	EC:3.1.3.3	4874	6550	5926	8491	4672	3451	7238	5589	9419	13169	10974	13804	4043	11383	12875	7365	12070	8716	22719	10474	12333	2927	3929	1714	3338	1062	3546	2851	9135	3660	9872	10046	8444	5630	14646	22299	10464	9242	18323	24666	16212	19099	7377	14138	9314	8203	16001	8226	9133	8536	10084	17981	8758	18852	9768	13211	31906	27014	19575	27406	17132	20956	18870
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.4	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.4	EC:3.1.3.4	100	340	680	925	542	137	696	178	713	827	851	719	387	1008	2445	1031	496	298	474	980	1263	180	546	70	246	242	267	41	1388	952	2478	1969	934	2855	1420	578	996	2364	402	541	410	189	352	892	484	259	685	904	426	1241	1399	874	1711	1532	891	777	224	1221	798	2001	1134	1332	966
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.45	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.45	EC:3.1.3.45	1248	1808	1724	2321	1094	749	2542	191	726	842	886	728	411	1029	5111	1759	4904	3618	9988	2577	3636	1149	918	167	944	284	1103	440	1389	954	2484	1977	940	2862	1424	5762	2402	4742	1873	4706	3026	662	2228	2648	3498	1529	2910	2674	4036	1282	1419	906	1787	1566	913	788	15490	5766	3378	4982	2536	1970	4788
Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;EC:3.1.3.48	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.3.48	EC:3.1.3.48	9954	16951	14642	20925	10816	6689	15212	5443	14877	35505	26382	25383	17193	29481	25334	16910	19596	47652	20715	20945	28547	14586	6010	8796	14646	6816	10900	6633	7542	6032	9364	11698	6914	5794	10256	17503	14808	11580	14210	20390	14953	19969	14714	19086	14388	16830	24557	13602	19848	8609	7420	9597	15297	10718	6897	7485	32634	28101	40458	20614	21380	26452	22123
