#observation_name	sampleA_R1	sampleB_R1
Cluster_807	3	0
Cluster_808	15	0
Cluster_809	3	0
Cluster_810	6	0
Cluster_811	6	0
Cluster_812	5	0
Cluster_813	5	0
Cluster_814	3	0
Cluster_815	3	0
Cluster_816	3	0
Cluster_817	4	0
Cluster_818	8	0
Cluster_819	3	0
Cluster_820	5	0
Cluster_821	3	0
Cluster_822	4	0
Cluster_823	3	0
Cluster_824	4	0
Cluster_825	3	0
Cluster_826	3	0
Cluster_827	5	0
Cluster_828	3	0
Cluster_829	4	0
Cluster_830	4	0
Cluster_831	9	0
Cluster_832	3	0
Cluster_833	3	0
Cluster_834	3	0
Cluster_835	6	0
Cluster_836	4	0
Cluster_837	3	0
Cluster_838	3	0
Cluster_839	4	0
Cluster_840	3	0
Cluster_841	3	0
Cluster_842	3	0
Cluster_843	8	0
Cluster_844	3	0
Cluster_845	3	0
Cluster_846	3	0
Cluster_847	3	0
Cluster_848	3	0
Cluster_849	4	0
Cluster_850	7	0
Cluster_851	3	0
Cluster_852	7	0
Cluster_853	3	0
Cluster_854	3	0
Cluster_855	3	0
Cluster_856	3	0
Cluster_857	3	0
Cluster_858	3	0
Cluster_859	3	0
Cluster_860	3	0
Cluster_861	3	0
Cluster_862	3	0
Cluster_863	4	0
Cluster_864	4	0
Cluster_865	3	0
Cluster_866	3	0
Cluster_867	3	0
Cluster_868	4	0
Cluster_869	4	0
Cluster_870	3	0
Cluster_871	3	0
Cluster_872	3	0
Cluster_873	4	0
Cluster_874	4	0
Cluster_875	3	0
Cluster_876	9	0
Cluster_877	3	0
Cluster_878	3	0
Cluster_879	6	0
Cluster_880	3	0
Cluster_881	8	0
Cluster_882	3	0
Cluster_883	4	0
Cluster_884	2	0
Cluster_885	3	0
Cluster_886	6	0
Cluster_887	3	0
Cluster_888	3	0
Cluster_889	2	0
Cluster_890	2	0
Cluster_891	2	0
Cluster_892	2	0
Cluster_893	2	0
Cluster_894	2	0
Cluster_895	4	0
Cluster_896	5	0
Cluster_897	2	0
Cluster_898	3	0
Cluster_899	2	0
Cluster_900	2	0
Cluster_901	2	0
Cluster_902	2	0
Cluster_903	6	0
Cluster_904	2	0
Cluster_905	2	0
Cluster_906	2	0
Cluster_907	5	0
Cluster_908	2	0
Cluster_909	4	0
Cluster_910	2	0
Cluster_911	2	0
Cluster_912	2	0
Cluster_913	6	0
Cluster_914	4	0
Cluster_915	6	0
Cluster_916	3	0
Cluster_917	2	0
Cluster_918	10	0
Cluster_919	2	0
Cluster_920	2	0
Cluster_921	2	0
Cluster_922	2	0
Cluster_923	5	0
Cluster_924	6	0
Cluster_925	2	0
Cluster_926	2	0
Cluster_927	4	0
Cluster_928	3	0
Cluster_929	3	0
Cluster_930	2	0
Cluster_931	2	0
Cluster_932	6	0
Cluster_933	4	0
Cluster_934	7	0
Cluster_935	3	0
Cluster_936	2	0
Cluster_937	4	0
Cluster_938	2	0
Cluster_939	2	0
Cluster_940	2	0
Cluster_941	3	0
Cluster_942	2	0
Cluster_943	2	0
Cluster_944	2	0
Cluster_945	9	0
Cluster_946	2	0
Cluster_947	2	0
Cluster_948	4	0
Cluster_949	2	0
Cluster_950	23	0
Cluster_951	2	0
Cluster_952	2	0
Cluster_953	2	0
Cluster_954	3	0
Cluster_955	3	0
Cluster_956	2	0
Cluster_957	2	0
Cluster_958	2	0
Cluster_959	3	0
Cluster_960	4	0
Cluster_961	2	0
Cluster_962	4	0
Cluster_963	2	0
Cluster_964	2	0
Cluster_965	3	0
Cluster_966	3	0
Cluster_967	2	0
Cluster_968	2	0
Cluster_969	2	0
Cluster_970	2	0
Cluster_971	2	0
Cluster_972	2	0
Cluster_973	5	0
Cluster_974	10	0
Cluster_975	7	0
Cluster_976	3	0
Cluster_977	2	0
Cluster_978	2	0
Cluster_979	2	0
Cluster_980	2	0
Cluster_981	3	0
Cluster_982	4	0
Cluster_983	3	0
Cluster_984	2	0
Cluster_985	3	0
Cluster_986	8	0
Cluster_987	2	0
Cluster_988	6	0
Cluster_989	2	0
Cluster_990	3	0
Cluster_991	2	0
Cluster_992	2	0
Cluster_993	2	0
Cluster_994	3	0
Cluster_995	3	0
Cluster_996	2	0
Cluster_997	2	0
Cluster_998	3	0
Cluster_999	2	0
Cluster_1000	2	0
Cluster_1001	3	0
Cluster_1002	2	0
Cluster_1003	2	0
Cluster_1004	2	0
Cluster_1005	10	0
Cluster_1006	2	0
Cluster_1007	2	0
Cluster_1008	2	0
Cluster_1009	7	0
Cluster_1010	2	0
Cluster_1011	2	0
Cluster_1012	2	0
Cluster_1013	2	0
Cluster_1014	5	0
Cluster_1015	2	0
Cluster_1016	2	0
Cluster_1017	2	0
Cluster_1018	2	0
Cluster_1019	2	0
Cluster_1020	2	0
Cluster_1021	2	0
Cluster_1022	2	0
Cluster_1023	2	0
Cluster_1024	2	0
Cluster_1025	2	0
Cluster_1026	5	0
Cluster_1027	2	0
Cluster_1028	2	0
Cluster_1029	2	0
Cluster_1030	2	0
Cluster_1031	2	0
Cluster_1032	2	0
Cluster_1033	3	0
Cluster_1034	3	0
Cluster_1035	2	0
Cluster_1036	2	0
Cluster_1037	3	0
Cluster_1038	2	0
Cluster_1039	3	0
Cluster_1040	3	0
Cluster_1041	3	0
Cluster_1042	2	0
Cluster_1043	2	0
Cluster_1044	2	0
Cluster_1045	2	0
Cluster_1046	2	0
Cluster_1047	3	0
Cluster_1048	2	0
Cluster_1049	4	0
Cluster_1050	2	0
Cluster_1051	2	0
Cluster_1052	6	0
Cluster_1053	2	0
Cluster_1054	2	0
Cluster_1055	2	0
Cluster_1056	3	0
Cluster_1057	2	0
Cluster_1058	3	0
Cluster_1059	2	0
Cluster_1060	8	0
Cluster_1061	6	0
Cluster_1062	2	0
Cluster_1063	3	0
Cluster_1064	2	0
Cluster_1065	24	0
Cluster_1066	2	0
Cluster_1067	3	0
Cluster_1068	3	0
Cluster_1069	2	0
Cluster_1070	3	0
Cluster_1071	2	0
Cluster_1072	2	0
Cluster_1073	2	0
Cluster_1074	3	0
Cluster_1075	2	0
Cluster_1076	2	0
Cluster_1077	2	0
Cluster_1078	3	0
Cluster_1079	2	0
Cluster_1080	4	0
Cluster_1081	4	0
Cluster_1082	2	0
Cluster_1083	12	0
Cluster_1084	5	0
Cluster_1085	2	0
Cluster_1086	2	0
Cluster_1087	5	0
Cluster_1088	2	0
Cluster_1089	3	0
Cluster_1090	2	0
Cluster_1091	4	0
Cluster_1092	3	0
Cluster_1093	3	0
Cluster_1094	2	0
Cluster_1095	2	0
Cluster_1096	2	0
Cluster_1097	2	0
Cluster_1098	2	0
Cluster_1099	2	0
Cluster_1100	3	0
Cluster_1101	2	0
Cluster_1102	2	0
Cluster_1103	2	0
Cluster_1104	3	0
Cluster_1105	2	0
Cluster_1106	4	0
Cluster_1107	2	0
Cluster_1108	2	0
Cluster_1109	4	0
Cluster_1110	2	0
Cluster_1111	2	0
Cluster_1112	6	0
Cluster_1113	2	0
Cluster_1114	3	0
Cluster_1115	2	0
Cluster_1116	2	0
Cluster_1117	2	0
Cluster_1118	2	0
Cluster_1119	3	0
Cluster_1120	2	0
Cluster_1121	2	0
Cluster_1122	11	0
Cluster_1123	2	0
Cluster_1124	3	0
Cluster_1125	3	0
Cluster_1126	2	0
Cluster_1127	2	0
Cluster_1128	2	0
Cluster_1129	6	0
Cluster_1130	5	0
Cluster_1131	2	0
Cluster_1132	2	0
Cluster_1133	2	0
Cluster_1134	2	0
Cluster_1135	2	0
Cluster_1136	5	0
Cluster_1137	2	0
Cluster_1138	2	0
Cluster_1139	2	0
Cluster_1140	2	0
Cluster_1141	2	0
Cluster_1142	6	0
Cluster_1143	3	0
Cluster_1144	4	0
Cluster_1145	2	0
Cluster_1146	2	0
Cluster_1147	2	0
Cluster_1148	5	0
Cluster_1149	2	0
Cluster_1150	9	0
Cluster_1151	4	0
Cluster_1152	2	0
Cluster_1153	2	0
Cluster_1154	4	0
Cluster_1155	3	0
Cluster_1156	2	0
Cluster_1157	2	0
Cluster_1158	2	0
Cluster_1159	2	0
Cluster_1160	4	0
Cluster_1161	2	0
Cluster_1162	2	0
Cluster_1163	2	0
Cluster_1164	2	0
Cluster_1165	2	0
Cluster_1166	5	0
Cluster_1167	2	0
Cluster_1168	7	0
Cluster_1169	5	0
Cluster_1170	2	0
Cluster_1171	3	0
Cluster_1172	2	0
Cluster_1173	4	0
Cluster_1174	3	0
Cluster_1175	2	0
Cluster_1176	2	0
Cluster_1177	2	0
Cluster_1178	2	0
Cluster_1179	2	0
Cluster_1180	2	0
Cluster_1181	18	0
Cluster_1182	3	0
Cluster_1183	3	0
Cluster_1184	2	0
Cluster_1185	5	0
Cluster_1186	2	0
Cluster_1187	3	0
Cluster_1188	2	0
Cluster_1189	2	0
Cluster_1190	2	0
Cluster_1191	2	0
Cluster_1192	2	0
Cluster_1193	7	0
Cluster_1194	2	0
Cluster_1195	4	0
Cluster_1196	8	0
Cluster_1197	2	0
Cluster_1198	2	0
Cluster_1199	2	0
Cluster_1200	2	0
Cluster_1201	2	0
Cluster_1202	2	0
Cluster_1203	2	0
Cluster_1204	11	0
Cluster_1205	2	0
Cluster_1206	3	0
Cluster_1207	3	0
Cluster_1208	2	0
Cluster_1209	4	0
Cluster_1210	2	0
Cluster_1211	2	0
Cluster_1212	2	0
Cluster_1213	2	0
Cluster_1214	4	0
Cluster_1215	2	0
Cluster_1216	2	0
Cluster_1217	2	0
Cluster_1218	3	0
Cluster_1219	4	0
Cluster_1220	2	0
Cluster_1221	2	0
Cluster_1222	3	0
Cluster_1223	2	0
Cluster_1224	2	0
Cluster_1225	2	0
Cluster_1226	2	0
Cluster_1227	2	0
Cluster_1228	6	0
Cluster_1229	3	0
Cluster_1230	4	0
Cluster_1231	2	0
Cluster_1232	21	0
Cluster_1233	2	0
Cluster_1234	3	0
Cluster_1235	2	0
Cluster_1236	5	0
Cluster_1237	5	0
Cluster_1238	3	0
Cluster_1239	3	0
Cluster_1240	2	0
Cluster_1241	3	0
