#id	sampleA_R1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15819:6327.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8161:6414.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15043:5694.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20662:9729.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13127:5660.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:4371:9884.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21358:4806.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15376:3512.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20114:6035.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6140:9101.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6825:7795.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:24785:8679.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18956:10194.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:25507:9680.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14160:5878.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12668:4863.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22531:7588.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17981:6086.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5443:6269.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13479:5041.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7332:9598.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18271:5258.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7154:6885.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17623:10010.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16089:8102.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9820:7477.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11922:5328.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16902:9451.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15159:9557.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17865:9400.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14672:6910.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11085:10053.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8577:3696.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7245:7744.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6916:9731.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18611:7712.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8504:7355.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17246:9827.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14506:7590.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14047:8912.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12639:8361.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:27169:9640.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17562:2227.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17362:8470.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8683:8411.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:4083:8860.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11997:8762.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5896:9430.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6179:9128.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12934:6063.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16691:8627.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18158:3987.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15619:9900.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19466:6680.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16070:5387.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14396:2041.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14682:5235.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17282:7473.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5287:9926.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9681:9927.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14288:7554.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:4213:8809.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8285:10274.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20535:5570.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12984:5132.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20850:9732.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13802:6621.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19191:7053.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6067:5904.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22102:8029.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8431:6309.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:23455:8372.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17473:7977.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14175:6108.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18184:8813.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13884:7496.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11659:10271.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16992:3333.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12556:4803.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10819:8647.1	1
