#id	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:2104:13502:23829.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:13397:2935.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:13122:7233.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:24684:7598.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:13510:21198.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:24849:11979.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:5126:13935.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:8591:20598.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:6182:11778.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:15039:28268.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:16440:26064.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:13525:4082.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:4267:18992.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:11923:9001.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:23480:10626.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:23827:14996.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:12968:19522.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:12254:18772.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:21650:13574.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:12722:20302.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:20560:14019.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:6636:14548.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:16738:25785.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:12930:20833.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:6732:6912.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:24865:22125.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:13796:5871.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:27345:16663.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:23952:20105.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:9963:8857.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:11293:13310.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:8188:14920.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:25640:5835.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:12114:27601.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:16041:3113.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:17263:20019.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:16451:5767.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:22239:4824.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:27800:17347.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:18211:16527.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:22897:27191.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:23854:10478.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:21952:15638.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:8559:11418.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:3881:18623.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:12709:19278.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:14007:13844.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:23052:22253.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:3474:14885.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:18161:7570.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:17216:5657.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:24738:13412.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:11726:20272.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:6867:18116.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:23993:25310.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:21107:22471.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:26512:16973.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:6632:20003.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:20199:9691.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:15641:26497.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:18126:16619.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:3056:14305.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:4538:18495.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:14113:6298.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:14284:10791.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:18138:11282.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:17292:23395.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:28121:20685.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:24580:23534.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:19496:14356.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:8295:12197.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:14959:6708.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:5825:17626.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:3587:11408.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:14123:12680.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:2674:16796.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:10280:15821.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:20710:13807.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:17096:3934.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:19895:20281.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:20580:11178.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:17317:26008.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:9981:11534.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:3788:13160.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:3011:18986.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:12119:7060.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:9307:21650.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:18652:26641.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:20768:14702.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:15349:23145.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:20065:13202.1	3	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:26621:13975.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:27385:16570.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:12588:22119.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:16585:5726.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:7526:13714.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:5133:18020.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:23858:12117.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:18578:6745.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:13576:14294.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:12925:24180.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:10231:21736.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:18176:18193.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:12419:12766.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:8196:16978.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:3976:16443.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:11311:11566.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:26346:23371.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:12089:22929.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:21544:16812.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:17503:18940.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2114:14095:5337.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:10319:21294.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:3457:11777.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:17469:17255.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:4850:22599.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:8764:13999.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:7355:22581.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:24378:14954.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:18360:9867.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:27146:18269.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:7678:19664.1	2	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:8394:12347.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:4698:19784.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:19838:24885.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:23841:10386.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:10900:5720.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:24966:23313.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:15995:23585.1	1	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:18788:12257.1	2	0
