"DLT0.LOT08" "DLT0.LOT05" "DLT0.LOT03" "DLT0.LOT07" "DLT0.LOT06" "DLT0.LOT01" "DLT0.LOT04" "DLT0.LOT10" "MVT0.LOT05" "MVT0.LOT01" "MVT0.LOT06" "MVT0.LOT07" "MVT0.LOT03" "MVT0.LOT09" "MVT0.LOT08" "MVT0.LOT10" "BHT0.LOT01" "BHT0.LOT07" "BHT0.LOT06" "BHT0.LOT03" "BHT0.LOT10" "BHT0.LOT05" "BHT0.LOT04" "BHT0.LOT08" "VHT0.LOT02" "VHT0.LOT10" "VHT0.LOT03" "VHT0.LOT01" "VHT0.LOT08" "VHT0.LOT06" "VHT0.LOT07" "VHT0.LOT04" "SFT0.LOT08" "SFT0.LOT07" "SFT0.LOT06" "SFT0.LOT03" "SFT0.LOT02" "SFT0.LOT05" "SFT0.LOT04" "SFT0.LOT01" "FST0.LOT07" "FST0.LOT08" "FST0.LOT05" "FST0.LOT06" "FST0.LOT01" "FST0.LOT03" "FST0.LOT10" "FST0.LOT02" "FCT0.LOT06" "FCT0.LOT10" "FCT0.LOT05" "FCT0.LOT03" "FCT0.LOT08" "FCT0.LOT02" "FCT0.LOT07" "FCT0.LOT01" "CDT0.LOT10" "CDT0.LOT08" "CDT0.LOT05" "CDT0.LOT04" "CDT0.LOT06" "CDT0.LOT09" "CDT0.LOT07" "CDT0.LOT02"
"DLT0.LOT08" 0 0.381582182479792 0.242371803158667 0.341762306312516 0.282799430220833 0.338772972343754 0.310328062700336 0.347848299822924 0.498011760786058 0.574298921641988 0.510544394319957 0.547369204687347 0.530551346352012 0.581858619446844 0.580395864796411 0.635926391832718 0.61341254331023 0.57621499437708 0.55227772180413 0.569531904426133 0.510083047652237 0.546635815369275 0.509726776185919 0.557311080989495 0.569393068959104 0.605583745125232 0.500206023103503 0.523699010174428 0.519004893480409 0.495764289291397 0.503498650953427 0.500700050641961 0.670400076764531 0.64275319768184 0.61015179837275 0.650501806700536 0.64772901497234 0.721594662971139 0.707949666407089 0.648292538461396 0.52789399897543 0.595391683382648 0.572916057084658 0.598668146248759 0.590052959268573 0.497760289955521 0.476560103541271 0.538277435909081 0.624884046893444 0.543480086270222 0.566281386372981 0.529601676579181 0.503840570894322 0.542127602802392 0.522520714681305 0.537116614728555 0.600525553838854 0.57804356836808 0.491401442049823 0.492364744847778 0.631558581368916 0.550241965686924 0.585933325042936 0.574995554370054
"DLT0.LOT05" 0.381582182479792 0 0.3316965801867 0.350831470731017 0.370430701670423 0.369070534104224 0.320343351958334 0.390720813701294 0.468523472626839 0.518115301183019 0.467858395715833 0.524754533211148 0.511505776698253 0.561389507177225 0.548187793684124 0.620876772484999 0.606790311911667 0.545416805659119 0.563524670412321 0.541665714403251 0.537969245906754 0.541466240671802 0.499892029051757 0.553283189453411 0.593096938649184 0.598603016693542 0.536360089224855 0.530555761184333 0.565851671781771 0.541911365726329 0.580306543311267 0.56691210929743 0.618006746693074 0.594396710915996 0.557978196233895 0.586038504460798 0.583880034819968 0.667026160650181 0.657557484623087 0.582389939750301 0.48543250120801 0.559397646364217 0.54824506827403 0.565384593565451 0.55089138312476 0.476901532813751 0.472826404475236 0.493751178522236 0.566954464461746 0.49322130854487 0.542018386226811 0.516666077766501 0.483348075913501 0.460881879200726 0.497378574217369 0.512916387791623 0.524793898754596 0.513537184035209 0.515371764599851 0.48165435175654 0.583575566935739 0.511334307967417 0.546045183654398 0.54433876556319
"DLT0.LOT03" 0.242371803158667 0.3316965801867 0 0.314526595509958 0.280268797650179 0.337446015745914 0.312457745048402 0.361144306458431 0.487934221391566 0.526683978155143 0.465959865467205 0.521047389001024 0.486835269976669 0.556909874805107 0.539252984691498 0.613084717519199 0.604617738249142 0.564608241315271 0.540375427683247 0.540858094990414 0.506237741634335 0.512579671434567 0.511806933868446 0.540609803164801 0.57497455447614 0.627743874064324 0.525680403255761 0.519059079547494 0.541297680553159 0.510160133276257 0.547284054186229 0.533370132272873 0.649157493696475 0.610846698219119 0.596103271986109 0.60731544632546 0.611225056302016 0.701714375324027 0.666635707685298 0.619157878241793 0.522740968507194 0.540222648677822 0.546398934204594 0.560071573892537 0.570621309398174 0.49204460082541 0.486454018646764 0.523830083422665 0.630149098745062 0.528672188975376 0.557102251112042 0.532631710120978 0.486631998543581 0.524583860915015 0.498829101464138 0.536100445590098 0.573186634568616 0.55685451638689 0.489343445498313 0.477747288073827 0.601605899903477 0.544463869332328 0.570286500047543 0.563314944066831
"DLT0.LOT07" 0.341762306312516 0.350831470731017 0.314526595509958 0 0.224118707134615 0.299554977932269 0.266959264440792 0.270410761114073 0.444913547213069 0.525585964116076 0.439649000177175 0.456958393536228 0.447003653356042 0.541940992084304 0.511408590539455 0.601139560904433 0.598685832226543 0.550308562786113 0.529990407645123 0.553962975529777 0.523189179668826 0.528096455621327 0.481092719616795 0.543978156835646 0.572155430681011 0.604307076517012 0.498510470024929 0.53892380204242 0.517708716996956 0.495476922976184 0.538228635938346 0.518200090007718 0.637994886788179 0.597367731507351 0.544080027253864 0.572004201498568 0.577429108123687 0.694549009005262 0.65538146855912 0.591071057069632 0.463247234313224 0.519398702974919 0.514355310028121 0.521582991100965 0.522542951852039 0.435380403632537 0.438826721156435 0.452915837480741 0.640408382315685 0.53216752695806 0.516881958057477 0.506940751585698 0.455571039920676 0.447857697406422 0.500296457292878 0.502088077669195 0.55575709001233 0.525484210033006 0.471014639785525 0.500912546886843 0.589650335907277 0.524246797568719 0.558831292526176 0.555790822306243
"DLT0.LOT06" 0.282799430220833 0.370430701670423 0.280268797650179 0.224118707134615 0 0.291019421797281 0.281673447635933 0.271646459822314 0.484273857370151 0.564865764507862 0.467658569676008 0.485726017134476 0.508621164756218 0.578507767301895 0.560404447118123 0.648245565692073 0.602172846893989 0.540968893078727 0.522173291515082 0.524149167351122 0.474694637658519 0.502135077581431 0.468470561199289 0.504579557781568 0.563802601091851 0.61524574471574 0.476476056747204 0.474770958418382 0.493720226951698 0.483184922003909 0.524859605215294 0.479447782738103 0.671811419567132 0.635322036725622 0.600787003309079 0.63131433224573 0.632571218374838 0.728086838856287 0.708694878610917 0.62318164266383 0.492600400106816 0.566179713956857 0.571636912732189 0.561732518800523 0.55278897763378 0.475402806786636 0.47357309927735 0.491004680469686 0.664743957732487 0.51070986828681 0.531075471277331 0.503860083245642 0.442171689696442 0.488067932183237 0.496747365909988 0.486688306650737 0.579595915920747 0.549390165660785 0.427766435525137 0.462804579704472 0.619381154420609 0.542771141618565 0.569607280436413 0.557649449733862
"DLT0.LOT01" 0.338772972343754 0.369070534104224 0.337446015745914 0.299554977932269 0.291019421797281 0 0.280361147344657 0.238078282352424 0.463273488761692 0.513390536380788 0.447901244128996 0.460953174239585 0.44766752993468 0.520159351244357 0.510243957506191 0.610530797953751 0.624164052907266 0.54674524468345 0.52678769237443 0.541552245726659 0.523453396410997 0.512028733969723 0.44835556574207 0.500877988587432 0.564001585522597 0.589064118431327 0.477730251174172 0.494097062326221 0.494366530803102 0.499495143429262 0.513179389336775 0.478173063219684 0.667705047622606 0.618624227615234 0.590325057185569 0.6280157086722 0.619793518942518 0.715310810124615 0.695142863182945 0.607306515376691 0.476480911251225 0.536281015988552 0.515661333717007 0.541374710904966 0.540813261856224 0.44767148899685 0.434873726003848 0.455740535455224 0.619885849465795 0.531966862871903 0.557852672337655 0.500642789087347 0.460453655799439 0.463290445500041 0.492993270226696 0.517802455838116 0.583194911132663 0.537403795013206 0.468421808457958 0.481699614328442 0.605655881342592 0.537462196885829 0.551499080131098 0.534850538934615
"DLT0.LOT04" 0.310328062700336 0.320343351958334 0.312457745048402 0.266959264440792 0.281673447635933 0.280361147344657 0 0.289069690038815 0.426164438109899 0.482227654719625 0.425127543663071 0.4555413075853 0.451915045279627 0.508703313491183 0.496515274449253 0.577835213739624 0.607088467480392 0.548742281237531 0.519106263194933 0.547840689031044 0.524219079337408 0.525509265781835 0.474320252919269 0.522338215093913 0.553360542972448 0.566072233531542 0.474238296406651 0.491038938489315 0.469849598395892 0.493597385749709 0.504067844460375 0.469830121795989 0.638646414226359 0.59850426418132 0.569684418001615 0.591604989298475 0.586635276067875 0.696885602651968 0.678252886317402 0.583271726578174 0.475447723812311 0.529859511403594 0.518407403825229 0.532093524719077 0.531730886791503 0.46653700068107 0.4151427598482 0.48277048007952 0.612195953269588 0.516412123983985 0.554139670736685 0.507145439851469 0.474646681707907 0.470099228054396 0.491767600626774 0.516912830979107 0.554983920444219 0.520842651153656 0.485727882876815 0.493526557303658 0.609254902867448 0.5356550729912 0.573385255882507 0.559228412089629
"DLT0.LOT10" 0.347848299822924 0.390720813701294 0.361144306458431 0.270410761114073 0.271646459822314 0.238078282352424 0.289069690038815 0 0.44242957101513 0.519542793621056 0.404368599697033 0.444938676029275 0.457363773770649 0.525283431355643 0.507012034804695 0.601618776821046 0.595795493526826 0.554446913667558 0.537152300801583 0.542651929033912 0.531223120963086 0.536177726335318 0.451868675878577 0.498747757827436 0.57594842262686 0.585449337747438 0.497662249233364 0.49593880838346 0.495210872624838 0.510958365033974 0.519799922385515 0.490142190093887 0.660767170694494 0.620803149719511 0.58425248113129 0.612619623552279 0.621162221878722 0.709678076596644 0.695189847143212 0.602495262064862 0.470980517498684 0.562768084312158 0.531847624030317 0.562643536239042 0.535012733583845 0.451474367120087 0.427856302193858 0.465769568310993 0.640860821767262 0.534285312086489 0.543778441848797 0.517561271784676 0.472412730549434 0.464429271945379 0.498389138917028 0.507773116649628 0.560730877830269 0.526594645815738 0.465725673276553 0.491597952862922 0.598132996701185 0.510101601396929 0.537587922096506 0.520187675518963
"MVT0.LOT05" 0.498011760786058 0.468523472626839 0.487934221391566 0.444913547213069 0.484273857370151 0.463273488761692 0.426164438109899 0.44242957101513 0 0.307099425889296 0.273471861319592 0.289862677029017 0.37488447497998 0.346475899172848 0.33729299388136 0.418436745910803 0.619534878137111 0.53539017937178 0.491978229659842 0.535841448469435 0.496009270471206 0.531500260447785 0.48416284442178 0.501136316899629 0.531506750405987 0.512472288140886 0.512373527460352 0.508658485157808 0.482666356924996 0.515087090792458 0.537216657509545 0.533114500343435 0.660612439303719 0.632451823274402 0.580721224030696 0.616395393885891 0.622125230002493 0.688487227062982 0.683899535157183 0.594251093644464 0.528783090036826 0.569733257797395 0.568201279596745 0.549961841640246 0.582133238110795 0.534246943929749 0.476574905421524 0.537384589333551 0.67382164762619 0.581660076523946 0.591965131204206 0.584603579308081 0.532606897837 0.541885426127891 0.575694929901043 0.587565253938651 0.603022722302166 0.599105574797672 0.577550765643632 0.568536512418172 0.617505041709402 0.579258969389266 0.623943541598617 0.586113166303829
"MVT0.LOT01" 0.574298921641988 0.518115301183019 0.526683978155143 0.525585964116076 0.564865764507862 0.513390536380788 0.482227654719625 0.519542793621056 0.307099425889296 0 0.29793397494225 0.337946954835671 0.343581183944956 0.285157281025665 0.289895410318546 0.373232452773583 0.638000498588672 0.585911365748885 0.580690575354765 0.588864328729295 0.551409611536717 0.600776633117288 0.564117850945102 0.541937947660287 0.541567505673413 0.521343180021498 0.558043071797564 0.533478302384783 0.496960809654788 0.540898833854405 0.59461279502693 0.559233495878095 0.607504762381149 0.616471463954975 0.591956641751154 0.612380808464717 0.569776181154009 0.628347488831951 0.649599230686602 0.574861910500484 0.571315628555077 0.541993365664883 0.535784248436831 0.529882251087199 0.609060763197475 0.594303219818772 0.534161681396456 0.580719642216164 0.617999762151894 0.586491843884512 0.587324794642487 0.590619169164555 0.55292717613486 0.541219552816191 0.578390768187313 0.594206370952839 0.582464413343363 0.560720766353876 0.604813886702074 0.596871629434833 0.618068023278435 0.60698258152899 0.615961891531078 0.592965607618498
