#seed_id	observation_name	observation_sum	sampleA_R1	sampleB_R1
ERR619083.M00704:57:000000000-A5HJE:1:1102:6531:15120.1	Cluster_174	51	51	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:20031:16836.1	Cluster_175	30	30	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:14192:22347.1	Cluster_176	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:19291:20608.1	Cluster_177	14	14	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:19599:12386.1	Cluster_178	24	24	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:17346:13126.1	Cluster_179	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:11986:7821.1	Cluster_180	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:21197:8288.1	Cluster_181	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:18188:9221.1	Cluster_182	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:6606:6001.1	Cluster_183	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:11386:19986.1	Cluster_184	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:4143:14348.1	Cluster_185	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:15111:14820.1	Cluster_186	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:4484:10747.1	Cluster_187	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:12767:11528.1	Cluster_188	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:7431:12432.1	Cluster_189	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:23952:20105.1	Cluster_190	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:5126:13935.1	Cluster_191	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:12241:8877.1	Cluster_192	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:2239:15283.1	Cluster_193	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:6024:23756.1	Cluster_194	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:19721:5077.1	Cluster_195	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:3197:18383.1	Cluster_196	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:5898:7073.1	Cluster_197	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:6360:16370.1	Cluster_198	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:4104:16594.1	Cluster_199	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:8385:12628.1	Cluster_200	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:6732:6912.1	Cluster_201	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:11441:20474.1	Cluster_202	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:3098:15598.1	Cluster_203	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:2707:16252.1	Cluster_204	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:21636:22559.1	Cluster_205	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:6581:13118.1	Cluster_206	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:11178:19239.1	Cluster_207	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:22695:16269.1	Cluster_208	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:12200:8374.1	Cluster_209	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:21329:17809.1	Cluster_210	27	27	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:15728:4922.1	Cluster_211	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:6857:14078.1	Cluster_212	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:9347:8635.1	Cluster_213	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:11745:20250.1	Cluster_214	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:12254:18772.1	Cluster_215	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:19459:4484.1	Cluster_216	23	23	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:7838:18210.1	Cluster_217	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:20716:7269.1	Cluster_218	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:20854:9902.1	Cluster_219	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:16672:8033.1	Cluster_220	52	52	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:16386:3710.1	Cluster_221	14	14	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:5220:11273.1	Cluster_222	30	30	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:7053:21024.1	Cluster_223	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:13201:13566.1	Cluster_224	11	11	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:18991:20894.1	Cluster_225	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:14607:14555.1	Cluster_226	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:12482:14426.1	Cluster_227	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:19331:18186.1	Cluster_228	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:21825:13477.1	Cluster_229	13	13	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:25120:10838.1	Cluster_230	14	14	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:25845:15538.1	Cluster_231	17	17	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:16342:18796.1	Cluster_232	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:3419:16296.1	Cluster_233	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:26577:13097.1	Cluster_234	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:19095:6082.1	Cluster_235	19	19	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:13580:3673.1	Cluster_236	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:15800:3305.1	Cluster_237	17	17	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:16801:14766.1	Cluster_238	17	17	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:2643:11916.1	Cluster_239	68	68	0
ERR619083.M00704:57:000000000-A5HJE:1:2110:12634:15628.1	Cluster_240	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:26673:9902.1	Cluster_241	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:13834:11665.1	Cluster_242	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:12451:26693.1	Cluster_243	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:17843:29148.1	Cluster_244	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:23983:20476.1	Cluster_245	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:4220:12491.1	Cluster_246	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2104:10285:24055.1	Cluster_247	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:10159:16196.1	Cluster_248	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:27849:15616.1	Cluster_249	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:12332:18435.1	Cluster_250	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:20151:14228.1	Cluster_251	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2113:18351:7741.1	Cluster_252	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:11263:9228.1	Cluster_253	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2111:21179:10724.1	Cluster_254	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:11397:28126.1	Cluster_255	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:15156:11539.1	Cluster_256	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2107:23451:16479.1	Cluster_257	64	64	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:18342:14493.1	Cluster_258	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:23411:6854.1	Cluster_259	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:18331:20544.1	Cluster_260	25	25	0
ERR619083.M00704:57:000000000-A5HJE:1:2112:24506:20797.1	Cluster_261	27	27	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:5614:17238.1	Cluster_262	28	28	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:14928:14549.1	Cluster_263	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:10537:12384.1	Cluster_264	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2103:8494:7169.1	Cluster_265	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:12429:15998.1	Cluster_266	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:7931:23491.1	Cluster_267	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:12426:18699.1	Cluster_268	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:22828:9870.1	Cluster_269	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:14938:16939.1	Cluster_270	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:23995:18163.1	Cluster_271	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:16303:21388.1	Cluster_272	24	24	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:21858:15339.1	Cluster_273	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2105:10251:13845.1	Cluster_274	36	36	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:18119:22987.1	Cluster_275	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:1101:4500:9765.1	Cluster_276	12	12	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:8609:11539.1	Cluster_277	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2108:9511:18544.1	Cluster_278	9	9	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:16033:8257.1	Cluster_279	10	10	0
ERR619083.M00704:57:000000000-A5HJE:1:1103:6689:17509.1	Cluster_280	15	15	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:15300:3390.1	Cluster_281	8	8	0
ERR619083.M00704:57:000000000-A5HJE:1:2102:7986:15295.1	Cluster_282	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:2101:4955:9891.1	Cluster_283	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:1104:9603:20612.1	Cluster_284	32	32	0
ERR619083.M00704:57:000000000-A5HJE:1:2109:15886:6045.1	Cluster_285	7	7	0
ERR619083.M00704:57:000000000-A5HJE:1:2106:16030:20043.1	Cluster_286	6	6	0
ERR619083.M00704:57:000000000-A5HJE:1:1102:9996:15843.1	Cluster_287	12	12	0
